,id,title,body,creation_date,tags,view_count,up_vote_count
0,66861316,Sort Data on react-firebase-hooks/database,"So in React, I&#39;m reading a firebase real-time database using the `&quot;react-firebase-hooks/database&quot;` package. 

```
import { useList } from &quot;react-firebase-hooks/database&quot;;
import { db, auth } from &quot;../../firebase&quot;;

function GameHistory() {
  var dbRef = db.ref(&quot;/&quot; + user.uid);

  const [snapshots, loading, error] = useList(dbRef);
```
So basically snapshots variable contains all the firebase realtime database data. 
Then later in my code I simply map each element of the snapshot array into a component.

Here is the problem, I want to sort my snapshots data in order of the `.timestamp` firebase property in my data. I&#39;m not sure how to do this. 

I tried to sort the snapshot data when I map it:
```
snapshots
            .sort((a, b) =&gt; {
              return a.val().timestamp &gt; b.val().timestamp;
            })
            .map((game, index) =&gt; (MORE CODE
```
But that doesn&#39;t work because timestamp is a firebase object, and JavaScript doesn&#39;t know what to do with it.

Just to establish more context on the timestamp variable, I defined it as such:

```timestamp: firebase.firestore.FieldValue.serverTimestamp()```

So is there any way to sort my snapshot data? Or should I use another package? If I should use something else please show code for how you read and sort the realtime db. 


",1617050222,reactjs|firebase|firebase-realtime-database|react-hooks,22,0
1,66700502,IIS HTTP Error 503. The service is unavailable,"I&#39;m using EC2 to deploy my ASP.net Core MVC web application on IIS. I&#39;ve published a medium sized project and the browser display the following message &quot;HTTP Error 503. The service is unavailable.
&quot;
I&#39;ve published another new project &quot;Empty&quot; with the same setting as the previous project and the publishing succeeded
i tried many solution such as :
 - making sure that the application poll is not stopped
 - turn the loading user profile to false
 - check the logs files for the following paths


C:\Windows\System32\LogFiles\HTTPERR

    2021-03-18 22:12:09 ***.**.**.** 3380 ***.**.**.** 80 HTTP/1.1 GET / - 503 4 AppOffline TestApplication

C:\inetpub\logs\LogFiles\W3SVC4

    2021-03-18 20:57:27 ::1 GET / - 80 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - localhost 503 0 1115 4833 264 24

    2021-03-18 20:57:27 ::1 GET /favicon.ico - 80 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - localhost 503 0 1115 4856 206 6


i didn&#39;t understand the error and I&#39;m hoping for some help

**BTW**
I&#39;ve published the same web application previously on Azure and it is up and running. Now I&#39;m trying to republish using IIS is the previous publishing may cause this problem ?


startup.cs file

    using System;
    using Microsoft.AspNetCore.Builder;
    using Microsoft.AspNetCore.Identity;
    using Microsoft.AspNetCore.Hosting;
    using Microsoft.EntityFrameworkCore;
    using Qessa.Data;
    using Microsoft.Extensions.Configuration;
    using Microsoft.Extensions.DependencyInjection;
    using Microsoft.Extensions.Hosting;
    using Qessa.Models;
    using Microsoft.AspNetCore.Mvc.Infrastructure;
    using Hangfire;
    using Qessa.Services;
    using Microsoft.AspNetCore.Identity.UI.Services;
    using Microsoft.AspNetCore.Authentication.Cookies;
    using Microsoft.AspNetCore.Http;
    
    
    namespace Qessa
    {
        public class Startup
        {
            public Startup(IConfiguration configuration)
            {
                Configuration = configuration;
            }
    
            public IConfiguration Configuration { get; }
    
            // This method gets called by the runtime. Use this method to add services to the container.
            public void ConfigureServices(IServiceCollection services)
            {
    
                services.AddAuthentication(CookieAuthenticationDefaults.AuthenticationScheme).AddCookie();
                services.ConfigureApplicationCookie(options =&gt;
                {
                    options.Cookie.Name = &quot;.ExpirationCookie&quot;;
                    options.Cookie.IsEssential = true;
                    options.Cookie.HttpOnly = true;
                    //options.LoginPath = &quot;/Identity/Pages/Account/Login&quot;;
                    options.AccessDeniedPath = &quot;/Identity/Pages/Account/AccessDenied&quot;; 
                    options.ExpireTimeSpan = TimeSpan.FromMinutes(60);
                    options.SlidingExpiration = true;
                    options.Cookie.SecurePolicy = CookieSecurePolicy.Always;
                    options.Events = new CookieAuthenticationEvents
                    {
                        OnValidatePrincipal = ValidateAsync.ValidatingAsync
                    };
                })
                .Configure&lt;SecurityStampValidatorOptions&gt;(options =&gt;
                {
                    options.ValidationInterval = TimeSpan.FromMinutes(0); //1 minute for testing, This time should be zero, so once the user account turned to expired it will waits for this time then force logout.
                });
    
                services.AddDbContext&lt;ApplicationDbContext&gt;(options =&gt;
                  options.UseSqlServer(
                      Configuration.GetConnectionString(&quot;DefaultConnection&quot;)));
    
                services.AddIdentity&lt;IdentityUser, IdentityRole&gt;(options =&gt; {
                    options.SignIn.RequireConfirmedAccount = false;
                    //options.User.AllowedUserNameCharacters = &quot;abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789-._@+&quot;;
                })
                    .AddEntityFrameworkStores&lt;ApplicationDbContext&gt;()
                    .AddDefaultTokenProviders(); 
    
                services.AddIdentityCore&lt;ApplicationUser&gt;()
                    .AddRoles&lt;IdentityRole&gt;()
                    .AddClaimsPrincipalFactory&lt;UserClaimsPrincipalFactory&lt;ApplicationUser, IdentityRole&gt;&gt;()
                    .AddEntityFrameworkStores&lt;ApplicationDbContext&gt;()
                    .AddDefaultUI();
    
                services.AddSingleton&lt;IEmailSender, EmailSender&gt;();
                services.Configure&lt;EmailOptions&gt;(Configuration);
    
                services.AddHangfire(config =&gt; config.UseSqlServerStorage(Configuration.GetConnectionString(&quot;DefaultConnection&quot;)));
                services.AddHangfireServer();
    
    
                services.AddControllersWithViews(); 
                services.AddRazorPages().AddRazorRuntimeCompilation();
    
                services.AddScoped&lt;IDbInitializer, DbInitializer&gt;();
    
                services.AddScoped&lt;IExpirationJob, ExpirationJob&gt;();
                services.AddScoped&lt;IReminderJob, EmailReminder&gt;();
    
                services.AddSingleton&lt;IActionContextAccessor, ActionContextAccessor&gt;();
            }
    
            // This method gets called by the runtime. Use this method to configure the HTTP request pipeline.
            public void Configure(IApplicationBuilder app,
                IWebHostEnvironment env,
                IRecurringJobManager recurringJobManager,
                IServiceProvider serviceProvider,
                IDbInitializer dbInitializer)
            {
                if (env.IsDevelopment())
                {
                    app.UseDeveloperExceptionPage();
                    app.UseDatabaseErrorPage();
                }
                else
                {
                    app.UseExceptionHandler(&quot;/Home/Error&quot;);
                    // The default HSTS value is 30 days. You may want to change this for production scenarios, see https://aka.ms/aspnetcore-hsts.
                    app.UseHsts();
                }
                dbInitializer.Initialize();
                app.UseHttpsRedirection();
                app.UseStaticFiles();
    
    
                app.UseHangfireDashboard();
                app.UseHangfireDashboard(&quot;/hangfire&quot;, new DashboardOptions()
                {
                    Authorization = new[] { new CustomAuthorizeFilter() }
                });
    
    
                app.UseRouting();
    
    
                app.UseAuthentication();
                app.UseAuthorization();
    
    
                app.UseCookiePolicy();
    
                recurringJobManager.AddOrUpdate(
                   &quot;End Users Subscription&quot;,
                   () =&gt; serviceProvider.GetService&lt;IExpirationJob&gt;().SetExpired(),
                   Cron.Daily
                   );
    
                recurringJobManager.AddOrUpdate(
                   &quot;Send End of Subscription Reminder&quot;,
                   () =&gt; serviceProvider.GetService&lt;IReminderJob&gt;().SendReminder(),
                   Cron.Daily
                   );
    
                app.UseEndpoints(endpoints =&gt;
                {
                    endpoints.MapControllerRoute(
                        name: &quot;default&quot;,
                        pattern: &quot;{controller=Home}/{action=Index}/{id?}&quot;);
                    endpoints.MapRazorPages();
                });
            }
        }
    }

appsetting.json file

    {
      &quot;ConnectionStrings&quot;: {
        &quot;DefaultConnection&quot;: &quot;Server=LAPTOP-CPJTBQI1;Database=QessaDB;Trusted_Connection=True;MultipleActiveResultSets=true&quot;
      },
      &quot;Logging&quot;: {
        &quot;LogLevel&quot;: {
          &quot;Default&quot;: &quot;Information&quot;,
          &quot;Microsoft&quot;: &quot;Warning&quot;,
          &quot;Microsoft.Hosting.Lifetime&quot;: &quot;Information&quot;
        },
    
        &quot;name&quot;: &quot;asp.net&quot;,
        &quot;private&quot;: true,
        &quot;dependencies&quot;: {
          &quot;bootstrap&quot;: &quot;3.3.7&quot;,
          &quot;jquery&quot;: &quot;3.1.1&quot;,
          &quot;jquery-validation&quot;: &quot;1.16.0&quot;,
          &quot;jquery-validation-unobtrusive&quot;: &quot;3.2.6&quot;,
          &quot;requirejs&quot;: &quot;2.3.3&quot;,
          &quot;chart.js&quot;: &quot;2.5.0&quot;
        }
    
      },
      &quot;SendGridKey&quot;: &quot;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&quot;,
      &quot;AllowedHosts&quot;: &quot;*&quot;
    }

",1616109793,amazon-web-services|asp.net-core|iis|amazon-ec2,56,0
2,66863131,Flexbox cell not sizing to contained flexbox cell,"I have a page layout that uses flexbox - eg content cell/column and navigation cell/column.  Within the content, I have a flexbox table of data.  One of the cells/column if the table has content that may be quite wide, wider than the cell itself and I have overflow-x set to auto so that it can be scrolled horizontally.

Although it is not ideal to have this scrolling, it will not often occur and I&#39;m happy to present like this.

Within the table flexbox, this works fine.  However, the page layout cell will not reduce down in size narrower than this wide content - it ignores the table cell width and uses the width of the content that is scrolled within it.

If I add overflow:hidden to the page layout content cell, it does correctly shrink down, however, this stops position:sticky working on rows within the content table flexbox.

The following example shows 2 content table rows.  The top 1 is contained within a &#39;page layout&#39; flexbox, the second is not.  The second is &#39;correctly&#39; sized to the container, the first is &#39;incorrectly&#39; sized to the data content and makes the whole page scroll horizontally.

Is there any way I can achieve the &#39;correct&#39; sizing when embedded within a flexbox cell?

&lt;!-- begin snippet: js hide: false console: true babel: false --&gt;

&lt;!-- language: lang-css --&gt;

    .pg_main {
      display: flex;
      flex-flow: row wrap;
    }

    .pg_content {
      flex: 1 0 20px;
    }

    .Row {
      display: flex;
      flex-flow: row wrap;
    }

    .Type {
      flex: 0 0 150px;
    }

    .Price {
      flex: 1 0 150px;
      white-space: nowrap;
      overflow-x: auto;
    }

    .Price div {
      display: inline-block;
      text-align: center;
      padding: 0 4px;
    }


&lt;!-- language: lang-html --&gt;

      &lt;br/&gt;
      &lt;div class=&quot;pg_main&quot;&gt;
        &lt;div class=&quot;pg_content&quot;&gt;
          &lt;div class=&quot;Row&quot;&gt;
            &lt;div class=&quot;Type&quot;&gt;Type&lt;/div&gt;
            &lt;div class=&quot;Price&quot;&gt;
              &lt;div&gt;100g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;200g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;300g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;400g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;500g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;600g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;700g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;800g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;900g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;1000g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;1100g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;1200g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;1300g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;1400g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;1500g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;1600g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;1700g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;1800g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;1900g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;2000g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;2100g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;2200g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;2300g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;2400g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;2500g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;2600g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;2700g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;2800g&lt;br/&gt;$88.00&lt;/div&gt;
              &lt;div&gt;2900g&lt;br/&gt;$88.00&lt;/div&gt;
            &lt;/div&gt;
          &lt;/div&gt;
        &lt;/div&gt;
      &lt;/div&gt;
      &lt;br/&gt;
      &lt;br/&gt;
      &lt;br/&gt;
      &lt;div class=&quot;Row&quot;&gt;
        &lt;div class=&quot;Type&quot;&gt;Type&lt;/div&gt;
        &lt;div class=&quot;Price&quot;&gt;
          &lt;div&gt;100g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;200g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;300g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;400g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;500g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;600g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;700g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;800g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;900g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;1000g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;1100g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;1200g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;1300g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;1400g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;1500g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;1600g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;1700g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;1800g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;1900g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;2000g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;2100g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;2200g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;2300g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;2400g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;2500g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;2600g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;2700g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;2800g&lt;br/&gt;$88.00&lt;/div&gt;
          &lt;div&gt;2900g&lt;br/&gt;$88.00&lt;/div&gt;
        &lt;/div&gt;
      &lt;/div&gt;
      &lt;br/&gt;


&lt;!-- end snippet --&gt;

",1617062374,css|flexbox|overflow|sizing,12,0
3,66857309,Can&#39;t consume asp.net webservice localhost C#,"I&#39;m doing a course about webservices in C#, part of the course is set the webservice in IIS localhost, once it is working, I open a new project and create a client, make the reference, it refers correctly, and when I try to consume the method from the WS, it shows me this error:

[enter image description here][1]


  [1]: https://i.stack.imgur.com/tsBJS.png


System.ServiceModel.FaultException: &#39;System.Web.Services.Protocols.SoapException: El servidor no puede procesar la solicitud. ---&gt; System.InvalidOperationException: No se puede serializar System.Security.Cryptography.KeySizes porque no tiene un constructor sin par&#225;metros.
   en System.Xml.Serialization.TypeDesc.CheckSupported()
   en System.Xml.Serialization.TypeScope.GetTypeDesc(Type type, MemberInfo source, Boolean directReference, Boolean throwOnError)
   en System.Xml.Serialization.ReflectionAwareILGen.WriteReflectionInit(TypeScope scope)
   en System.Xml.Serialization.XmlSerializationWriterILGen.GenerateBegin()
   en System.Xml.Serialization.TempAssembly.GenerateRefEmitAssembly(XmlMapping[] xmlMappings, Type[] types, String defaultNamespace, Evidence evidence)
   en System.Xml.Serialization.TempAssembly..ctor(XmlMapping[] xmlMappings, Type[] types, String defaultNamespace, String location, Evidence evidence)
   en System.Xml.Serialization.XmlSerializer.FromMappings(XmlMapping[] mappings, Type type)
   en System.Web.Services.Protocols.SoapServerType..ctor(Type type, WebServiceProtocols protocolsSupported)
   en System.Web.Services.Protocols.SoapServerProtocol.Initialize()
   en System.Web.Services.Protocols.ServerProtocolFactory.Create(Type type, HttpContext context, HttpRequest request, HttpResponse response, Boolean&amp; abortProcessing)
   --- Fin del seguimiento de la pila de la excepci&#243;n interna ---&#39;
",1617032787,c#|localhost|local|consumption,23,0
4,66863127,what is difference between component which has return function or not,"I just got one question about React stateless component.
This is my App.js code
```
import &#39;./App.css&#39;;
import HomePage from &quot;./pages/HomePage/HomePage&quot;;


function App() {
  return (
    &lt;div&gt;
      &lt;HomePage /&gt;
    &lt;/div&gt;
  );
}

export default App;

```
and this is my Homepage.jsx code
```
import React from &quot;react&quot;;
import &quot;./homepage.style.scss&quot;;
import Directory from &quot;../../components/Directory/Directory&quot;;

const HomePage = () =&gt; {
  return (
    &lt;div className=&quot;homepage&quot;&gt;
      &lt;Directory /&gt;
    &lt;/div&gt;
  );
};

export default HomePage;

```
But the thing is when I write a code HomPage function like this,
```
const HomePage = () =&gt; (
  &lt;div className=&quot;homepage&quot;&gt;
      &lt;Directory /&gt;
    &lt;/div&gt;

)
```
it still works well.

what is a big difference and what is a write way to declare a function in React?
```
const HomePage = () =&gt; {
return (
   /* write a code*/
)
}
```
or

```
const HomePage = () =&gt; (
  /*wirte a code*/
)
```
",1617062323,javascript|reactjs,9,0
5,58687345,How do i cache api in reactjs Progressive Web App(Pwa) to add Offline support?,I have registered my service worker by adding serviceWorker.register(); in my code.In create-react-app Api results are not cached.How do we cache Api result so we counld improve Offline support.,1572842952,reactjs|service-worker|create-react-app|progressive-web-apps,880,3
6,66863124,Jquery: is it possible to combine the events mouseover() and mouseout() with the hover() method?,"From what I&#39;ve understood, hover() is a combination of mouseenter and mouseleave events. 
These events are different from mouseover and mouseout.

But is it possible to trigger mouseover and mouseout using hover()?


For Example: 
Change &quot;hover(mouseenter, mouseleave)&quot; to &quot;hover(mouseover, mouseout)&quot;
",1617058629,hover|javascript|jquery,19,0
7,66790818,Java build has started failing - Fatal error compiling: java.lang.IllegalAccessError: class lombok.javac.apt.LombokProcessor,"
We have a Java 11 server on EC2 that has just started failing to build with the following error: 

    [ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.8.1:compile (default-compile) 
    on project showhow-server: Fatal error compiling: java.lang.IllegalAccessError: class lombok.javac.apt.LombokProcessor (in unnamed module @0x49d0e934) cannot access class 
    com.sun.tools.javac.processing.JavacProcessingEnvironment (in module jdk.compiler) because module jdk.compiler 
    does not export com.sun.tools.javac.processing to unnamed module @0x49d0e934 -&gt; [Help 1]
    [ERROR] 

The build is from BitBucket pipelines. 

Any idea what it could be? ",1616628084,java|amazon-ec2|bitbucket,296,1
8,44848215,git commit asking for who you are,"I ran into below error message while trying to make some commits. 
   

    *** Please tell me who you are.
        
        Run
        
          git config --global user.email &quot;you@example.com&quot;
          git config --global user.name &quot;Your Name&quot;

The issue could be solved by typing instructed command as shown. I just wonder why did such message occur? I have used git for a while now, normally it would just commit and add files without any message like this. ",1498830899,git|git-commit,1498,2
9,66863050,setState element of array rewrite entire array,"I have simple structure:

    interface IToast {
    text: string,
    setShow: Function,
    show: boolean,
    }
    const defaultToasts: IToast[] = [];
    const [toasts, setToasts]: [IToast[], (toasts: IToast[]) =&gt; void] = useState(defaultToasts);

I whant to add new element to existing array, but for some reason, after that: 

    let toast: IToast = {
    text: notification,
    setShow: () =&gt; { },
    show: true
    }
    setToasts([...toasts, ...toasts.concat(toast)]);

This item didnt add properly to array, he rewrite *entire* array. 
How can i do this?

**UPDATED**

I try @BrianThompson and @jared variant but in doesnt work for me, first element added correctly, but next one rewrite first. I think problem can be from `defaulToasts`, but not sure.

I use setState in useEffect hook, maybe problem come from this.

    useEffect(() =&gt; {
        if (connection) {
            connection
                    .start()
                    .then(() =&gt; {
                        console.log(&quot;ready&quot;)
                        connection.on(&quot;ReceiveNotification&quot;, (notification) =&gt; {
                            console.log(&quot;New notification&quot;)
                            let toast: IToast = {
                                    text: notification,
                                    setShow: () =&gt; { },
                                    show: true
                            }
                            setToasts([...toasts, toast]);
                        });
                    })
                    .catch((error) =&gt; console.log(error));
    }, [connection]);",1617061615,reactjs|typescript,39,0
